"daily_saturated_fat_intake_mg","systolic_blood_pressure_mm_hg"
31.8405118680939,148.469226850473
26.6430617399441,128.983803483834
23.240240595864,127.239366426603
22.840531532837,130.992787880598
22.9239682567746,127.600460305585
28.6704696897881,131.427813622164
24.8099973036403,129.589283717853
25.3742610774596,133.421965900707
21.722460318215,128.673536013185
31.2075130196936,135.906871567618
27.6252212848416,131.720902245533
21.8425717552681,128.192225119689
30.2635543114186,125.526595292021
29.1819261822214,135.090079154462
29.4934934765032,135.691153131207
18.0761304366855,124.29963206774
18.6505539865289,117.572054571724
27.2778132764065,132.662151300677
25.4999530705503,143.640539433055
25.5076924894343,124.394277175216
23.509078965241,118.57206833833
24.5143157589221,124.175900888934
14.0524976382699,116.685953564009
11.164838127383,125.095636114262
22.8031144233401,128.404056768759
